,,Student Name,College Name,Branch,Division,Passing Year,Email-id,Mobile Number,SSC %age,HSC %age,FE GPA,SE GPA,TE GPA,Live Backlog,Dead Backlog,AMCAT English,AMCAT Logic,AMCAT Quantitative,AMCAT Technical,Certifications,Co-circular Activities,Sports Certificates,Extras
0,0,SINGHANIA GANESH,SCOE,COMPUTER,BE-I,2019,SINGHANIA.GANESH@SCOE.EDU,9685748512,89,92.6,9.6,9.8,8.5,0,0,83,85,87,91,5,3,1,SINGER
0,2,ISHAN SHARMA,SCOE,COMPUTER,BE-II,2019,N.A.,7854125874,91,82,9.1,8.6,8.6,0,0,85,65,85,88,3,2,1,N.A.
0,3,MUNSHI RAJ,SCOE,COMPUTER,BE-II,2019,N.A.,7854125874,94,86,8.6,8.2,8.2,0,0,90,69,87,75,2,3,2,N.A.
0,6,PANKAJ PRATAP,SCOE,COMPUTER,BE-I,2019,N.A.,7854125874,88,85.6,8.6,8.2,8.2,0,0,84,86,86,75,5,8,0,N.A
0,8,DINESH KUMAR,SCOE,COMPUTER,BE-III,2019,N.A.,7854125874,88,80.2,9.6,8.6,8.6,0,0,96,85,83,58,4,2,0,N.A.
0,9,RAJESH SHARMA,SCOE,COMPUTER,BE-II,2019,N.A.,7854125874,95,81.6,8.2,7.6,7.6,0,0,85,82,91,95,8,1,0,N.A.
0,14,HAMMA SINGH,SCOE,IT,BE-III,2019,N.A.,7854125874,86.7,75.6,8.5,7.6,7.6,0,0,36,98,85,86,5,5,2,N.A.
0,15,PANKAJ PRATAP,SCOE,E&TC,BE-II,2019,N.A.,7854125874,88,92.3,8.2,7.5,6.89,0,0,69,96,96,85,8,8,2,N.A.
0,17,DINESH KUMAR,SCOE,E&TC,BE-I,2019,N.A.,7854125874,95,81.3,8.5,8.8,8.8,0,0,85,84,85,96,4,6,3,N.A.
0,19,RANJIT SINGH,SCOE,IT,BE-III,2019,N.A.,7854125874,99,75.3,9.15,7.5,7.5,0,0,69,84,96,93,9,8,0,N.A.
0,26,DINESH KUMAR,SCOE,IT,BE-II,2019,N.A.,7854125874,85,88.4,9.6,9.2,8.6,0,0,85,92,75,92,2,3,0,
0,30,ANMOL SINGH,SCOE,MECH,BE-I,2019,ANMOL.SINGH@EMAIL.COM,7852363256,92,91,9.6,9.2,8.9,0,0,96,91,85,80,6,2,3,SINGER
0,31,RAJNESH SHAH,SCOE,IT,BE-III,2019,RAJNESH@EMAIL.COM,7546852147,95,87,9.6,9.1,9.36,0,0,96,91,92,93,11,3,1,
0,32,SAUM,SCOE,CS,BE,2019,SAUM@GMAIL.COM,9876543210,93,87,9.3,9,8.8,0,0,80,76,83,92,1,4,0,LEADERSHIP
