,,Student Name,College Name,Branch,Division,Passing Year,Email-id,Mobile Number,SSC %age,HSC %age,FE GPA,SE GPA,TE GPA,Live Backlog,Dead Backlog,AMCAT English,AMCAT Logic,AMCAT Quantitative,AMCAT Technical,Certifications,Co-circular Activities,Sports Certificates,Extras,Placed
0,0,SINGHANIA GANESH,SCOE,COMPUTER,BE-I,2019,SINGHANIA.GANESH@SCOE.EDU,9685748512,89,92.6,9.6,9.8,8.5,0,0,83,85,87,91,5,3,1,SINGER,1
0,1,PANKAJ PRAKASH,SCOE,IT,BE-II,2019,PRAKASH.PANKAJ@SCOE.EDU,7854125874,85,81,9.5,8.76,8.25,0,2,75,99,96,80,2,6,5,SWIMMER,1
0,2,ISHAN SHARMA,SCOE,COMPUTER,BE-II,2019,N.A.,7854125874,91,82,9.1,8.6,8.6,0,0,85,65,85,88,3,2,1,N.A.,1
0,3,MUNSHI RAJ,SCOE,COMPUTER,BE-II,2019,N.A.,7854125874,94,86,8.6,8.2,8.2,0,0,90,69,87,75,2,3,2,N.A.,1
0,5,HAMMA SINGH,SCOE,E&TC,BE-II,2019,N.A.,7854125874,84,76,7.2,6.6,6.6,0,5,91,86,91,63,6,5,1,N.A.,1
0,6,PANKAJ PRATAP,SCOE,COMPUTER,BE-I,2019,N.A.,7854125874,88,85.6,8.6,8.2,8.2,0,0,84,86,86,75,5,8,0,N.A.,0
0,8,DINESH KUMAR,SCOE,COMPUTER,BE-III,2019,N.A.,7854125874,88,80.2,9.6,8.6,8.6,0,0,96,85,83,58,4,2,0,N.A.,1
0,9,RAJESH SHARMA,SCOE,COMPUTER,BE-II,2019,N.A.,7854125874,95,81.6,8.2,7.6,7.6,0,0,85,82,91,95,8,1,0,N.A.,1
0,12,MUNSHI RAJ,SCOE,IT,BE-I,2019,N.A.,7854125874,92.2,63.6,8.5,8.1,8.1,0,8,75,81,82,98,2,2,3,N.A.,1
0,14,HAMMA SINGH,SCOE,IT,BE-III,2019,N.A.,7854125874,86.7,75.6,8.5,7.6,7.6,0,0,36,98,85,86,5,5,2,N.A.,1
0,15,PANKAJ PRATAP,SCOE,E&TC,BE-II,2019,N.A.,7854125874,88,92.3,8.2,7.5,6.89,0,0,69,96,96,85,8,8,2,N.A.,1
0,17,DINESH KUMAR,SCOE,E&TC,BE-I,2019,N.A.,7854125874,95,81.3,8.5,8.8,8.8,0,0,85,84,85,96,4,6,3,N.A.,1
0,19,RANJIT SINGH,SCOE,IT,BE-III,2019,N.A.,7854125874,99,75.3,9.15,7.5,7.5,0,0,69,84,96,93,9,8,0,N.A.,1
0,23,HAMMA SINGH,SCOE,E&TC,BE-I,2019,N.A.,7854125874,81.6,82.6,9.58,8.6,8.6,0,2,96,83,42,85,5,2,5,N.A.,1
0,25,SANJAY SHAH,SCOE,E&TC,BE-III,2019,N.A.,7854125874,77,82.9,9,8.6,8.12,0,3,75,89,85,93,5,9,1,N.A.,1
0,26,DINESH KUMAR,SCOE,IT,BE-II,2019,N.A.,7854125874,85,88.4,9.6,9.2,8.6,0,0,85,92,75,92,2,3,0,N.A.,1
